Column1,_1,Cpilot1,Cpilot2,BE1,BE2,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,P22,c023,C024,C025,C026
Trial141,BRAIN_24_NORMAL_Ax.png,0.604856583,0.640471283,0.646128408,0.55251944,0.599194218,0.671113198,0.600592518,0.740550521,0.61047873,0.689428216,0.59016459,0.533084553,0.617515771,0.594323088,0.749476144,0.662417414,0.860029751,0.560486571,0.654585395,0.581920991,0.519094446,0.601621399,0.584887028,0.727323975,0.681761986,0.652819569,0.615854315,0.581347237,0.591550018,0.698462958,0.594641114,0.684532306,0.66502431,0.748944794,0.700161838,0.716518726,0.571432364,0.584256865,0.607676547,0.611963502,0.497532605,0.522301146,0.433229199,0.467819914,0.538824519,0.406901295,0.615562007,0.552602307,0.636289522,0.609364323,0.277765581,0.56736152,0.567240117,0.562259773,0.54819666,0.550756389,0.536525079,0.562060899,0.648294544,0.623984159,0.580407785,0.857510246,0.692307024
Trial147,BRAIN_26_NORMAL_BG.png,0.520868551,0.627205881,0.701012001,0.579837764,0.641916032,0.698326081,0.638729494,0.789874531,0.582983172,0.704337272,0.534229239,0.697573686,0.619468839,0.62829748,0.608532392,0.647164161,0.893164758,0.606574421,0.700768603,0.560144577,0.555566592,0.643478259,0.619518186,0.562409436,0.65808828,0.698646955,0.61260528,0.617732164,0.670050532,0.630707884,0.664238603,0.695991584,0.652947907,0.696309254,0.634811176,0.658589938,0.603348077,0.608527091,0.635712375,0.635336003,0.649311034,0.580268117,0.593213564,0.41523155,0.566015585,0.567642981,0.644328156,0.709815675,0.604371054,0.647936841,0.463678342,0.572916093,0.542460871,0.618165883,0.58328106,0.660002714,0.6110633,0.525607479,0.481793319,0.582635956,0.703213948,0.52686952,0.672736018
Trial159,BRAIN_30_NORMAL_Normal IAM.png,0.427554018,0.654522726,0.637668545,0.566436243,0.53115288,0.810490393,0.409543123,0.587439728,0.593168335,0.635699874,0.543901878,0.595389891,0.577925808,0.526977575,0.663458818,0.613829149,0.780732431,0.582474817,0.802985242,0.594061291,0.468383885,0.603964132,0.606533626,0.52871496,0.579786177,0.652891452,0.559842445,0.590406864,0.59821193,0.903017279,0.714590808,0.449724936,0.590793756,0.680898,0.585600591,0.730740109,0.601779988,0.589775368,0.589319819,0.627199939,0.589137142,0.515792678,0.484419401,0.669251362,0.522069261,0.447390108,0.680465462,0.785272915,0.601856511,0.604838493,0.498684119,0.503784908,0.598677441,0.557009834,0.560923981,0.44055731,0.562271003,0.57765685,0.51282777,0.538327156,0.523511429,0.747323163,0
Trial162,BRAIN_31_NORMAL_Sulci.png,0.533968705,0.693758352,0.621440772,0.602634306,0.631469659,0.75156536,0.556044162,0.699933252,0.587443323,0.807510654,0.502081786,0.67143487,0.678914718,0.603399068,0.552689244,0.670194606,0.828794891,0.601229181,0.666677665,0.605075994,0.529959335,0.636039995,0.616554545,0.712746058,0.669477982,0.739427544,0.594607485,0.647391312,0.567986081,0,0.713310548,0.428936019,0.560962403,0.716291816,0.711138642,0,0.632882198,0.543923595,0.675969671,0.640096079,0.595127742,0.463419316,0.580110309,0.629481727,0.455188379,0.642607046,0.637956085,0.735423449,0.573414259,0.607969991,0.471049751,0.578499369,0.606077832,0.517677054,0.570411834,0.602784557,0.536908261,0.504110813,0.567744479,0.611577715,0.625686387,0.896326509,0
Trial165,BRAIN_32_NORMAL_Axial T2.png,0.548518614,0.681371262,0.660064673,0.608343142,0.528071423,0.724798834,0.444575234,0.721193475,0.599031725,0.660718034,0.549627713,0.680033713,0.628904693,0.594849625,0.655987695,0.628583193,0.744146808,0.466383359,0.465300319,0.586449434,0.585648822,0.426700381,0.633787388,0.686083405,0.679113736,0.673777189,0.599933094,0.664337857,0.622012498,0.418519843,0.706205386,0.622813917,0.605539816,0.69334019,0.53284596,0.716767174,0.613923526,0.545081951,0.551264179,0.642825275,0.433960724,0.553582561,0.643168489,0.637805916,0.463906878,0.607219484,0.620154533,0.797406407,0.63279897,0.541849154,0.375481274,0.523231265,0.623748862,0.542563306,0.533465965,0.591161811,0.571522816,0.55016137,0.466200233,0.586695055,0.488580667,0.804960132,0
Trial168,BRAIN_33_NORMAL_T1C ventricles.png,0.458219139,0.658427009,0.67146785,0.61198678,0.615120703,0.702433424,0.586729027,0.70619076,0.510104563,0.578668663,0.585686695,0.50393403,0.611189005,0.588074918,0.676917392,0.647596207,0.82489012,0.564560727,0.686820784,0.507330435,0.539949155,0.608415218,0.644029305,0.629845487,0.623499807,0.66970675,0.615581615,0.428019618,0.693252014,0.654790745,0.699638712,0.593326121,0.630705603,0.722890009,0.872622455,0,0.582033587,0.633456249,0.699623391,0.597220923,0.642835688,0.660125411,0.70120973,0.409869572,0.498741173,0.660953477,0.604372377,0.636648198,0.581013559,0.573069389,0.482975284,0.489488591,0.595062823,0.590682926,0.548759122,0.562400467,0.565382803,0.600433011,0.572727136,0.559264021,0.701173212,0.739020957,0
Trial177,BRAIN_36_NORMAL_T1C a.png,0.569862823,0.635699139,0.650889016,0.596789384,0.583476181,0.681059836,0.448461191,0.735849274,0.611361068,0.59112906,0.573997043,0.685002954,0.643526906,0.54425395,0.63151274,0.677290143,0.82260543,0.631330851,0.685047997,0.553581594,0.563387902,0.63194687,0.649299493,0.712131501,0.642502953,0.693743514,0.628926736,0.603435309,0.660136592,0.514127567,0.62501475,0.63752181,0.665296792,0.748262641,0.666807964,0.387154077,0.562130521,0.566741508,0.558108043,0.662289871,0.435999363,0.616666292,0.65424655,0.656286429,0.500636471,0.618416368,0.661283327,0.639145538,0.585960002,0.618126892,0.550056455,0.573061647,0.533028742,0.537078662,0.602920475,0.581659408,0.587605204,0.564812785,0.560307342,0.527426379,0.642106062,0.838916556,0.604632803
Trial180,BRAIN_37_NORMAL_Normal MRA.png,0.454881309,0.665363995,0.631522095,0.576222028,0.599933823,0.796013238,0.567187217,0.759978392,0.593246099,0.674243862,0.521263727,0.582950803,0.593284687,0.629261591,0.651135678,0.601566127,0.795088224,0.51281757,0.681047322,0.587450894,0.616120877,0.582094112,0.623451449,0.701760387,0.646792304,0.696997824,0.633363868,0.593372074,0.553284695,0.675204298,0.690882115,0.645775198,0.603271875,0.672549993,0.650164382,0.674807029,0.588640359,0.560385774,0.562086331,0.472240217,0.536921012,0.562838518,0.521937491,0.543749822,0.485997383,0.547098629,0.648956756,0.687549525,0.620719206,0.556205986,0.447165194,0.522158906,0.440240707,0.55826361,0.490153815,0.613119492,0.573743042,0.475843786,0.611421215,0.46567419,0.648217184,0.595439852,0
Trial183,BRAIN_38_NORMAL_Sagittal T1.png,0.592390638,0.656745532,0.656339842,0.610513882,0.620471588,0.921455793,0.443191202,0.794658085,0.564448599,0.710943977,0.53811679,0.655704048,0.431376408,0.56020386,0.701408671,0.654693969,0.88792873,0.611388398,0.64005205,0.586414529,0.397282907,0.646697316,0.632140834,0.701508542,0.64877139,0.669933266,0.624473823,0.645015369,0.529937505,0.519744258,0.743026619,0.671817597,0.645720955,0.705783516,0.5604531,0,0.617242829,0.556806718,0.623526761,0.571414856,0.540715932,0.534884606,0.508316097,0.514604944,0.55113779,0.524323461,0.59116854,0.717779511,0.597148264,0.381931638,0.387574132,0.534138156,0.507852919,0.537519847,0.561889586,0.603478167,0.616525623,0.521421215,0.573153251,0.551285681,0.602751178,0.635727462,0
Trial189,BRAIN_40_NORMAL_Sylvian.png,0.557877889,0.672355469,0.671309871,0.59660749,0.687453097,0.713843399,0.426113169,0.694619124,0.61537995,0.697050181,0.578251191,0.590869356,0.608177347,0.601757432,0.525913019,0.661537343,0.867441368,0.559503356,0.710526851,0.563710101,0.494183837,0.646351032,0.555159252,0.702712273,0.650859112,0.729980264,0.648882224,0.623427505,0.683126405,0.566908073,0.621712299,0.570691393,0.590348529,0.711612058,0.538012357,0,0.616691261,0.573241007,0.601412578,0.554123432,0.652157711,0.451851396,0.534388289,0.490388273,0.57692446,0.549226386,0.670017417,0.761113974,0.606955975,0.631231923,0.536184557,0.548407585,0.542867914,0.520364693,0.592494918,0.680258903,0.606134924,0.516857026,0.562029601,0.598521631,0.642124318,0.624165687,0.589755137
