Column1,_1,Cpilot1,Cpilot2,BE1,BE2,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,P22,c023,C024,C025,C026
Trial123,BRAIN_18_PATH_Sag schwannoma.png,0.580563028,0.650010015,0.700098145,0.584782073,0.596954672,0.586138361,0.435730879,0.730524886,0.593664496,0.558345856,0.58400453,0.625326275,0.680208583,0.57537083,0.588197936,0.662020892,0.651846265,0.61844873,0.703824774,0.623123643,0.633647261,0.615715712,0.592441718,0.684568203,0.646371188,0.778741134,0.633959201,0.588797836,0.537474673,0.612272172,0.67503638,0.711228639,0.660457896,0.68264275,0.586611631,0.818061925,0.55350056,0.569988531,0.587821175,0.633473147,0.56504334,0.596459066,0.537876923,0.599953801,0.508407835,0.534958334,0.649791158,0.554468487,0.617834281,0.620905923,0.519258275,0.598781199,0.56125491,0.555699023,0.546445897,0.594115529,0.568823104,0.464396346,0.633053956,0.556987654,0.61759224,0.696620673,0.521771634
Trial129,BRAIN_20_PATH_Empty Sella.png,0.574428386,0.679937748,0.651837156,0.586204693,0.620452595,0.679532133,0.50605275,0.668739078,0.609543814,0.583354684,0.579451012,0.643744963,0.633480742,0.589414643,0.664252453,0.647293491,0.858742201,0.592375286,0.671464006,0.619919417,0.576481404,0.61337228,0.550419149,0.731542086,0.660370542,0.689403991,0.62235705,0.577067567,0.609416179,0.513715162,0.818201499,0.689434759,0.536568747,0.703284164,0.66438917,0.632946445,0.616372922,0.531876217,0.592329228,0.505924503,0.664296505,0.682476784,0.617526929,0.577958279,0.569882056,0.620878055,0.63973126,0.797596758,0.597018016,0.647925412,0.505607655,0.587695422,0.640001368,0.571336322,0.584342994,0.687126021,0.627481465,0.574822253,0.546791586,0.662324029,0.604016955,0.69611472,0.557371835
Trial132,BRAIN_21_PATH_Cor met.png,0.569987741,0.679212464,0.69193843,0.599064051,0.627114827,0.666179649,0.586530069,0.755595286,0.640577172,0.648789374,0.550678587,0.713228095,0.622702822,0.635116097,0.58984911,0.665166407,0.859667356,0.55818592,0.641658209,0.57970356,0.440682428,0.558196441,0.623865315,0.68538718,0.686129397,0.758073897,0.649007322,0.565647607,0.676292438,0,0.664296412,0.705980807,0.688780716,0.76978696,0.686825782,0.646766418,0.53259323,0.567746025,0.595413862,0.707079029,0.768921624,0.588925108,0.678280283,0.610160424,0.508965495,0.568183717,0.678756195,0.798510597,0.587197971,0.57574049,0,0.542793383,0.585296678,0.634956787,0.550405491,0.575534645,0.613466726,0.572260403,0.597896738,0.658637692,0.8002137,0.721576464,0.756740025
Trial144,BRAIN_25_PATH_Transv sinus meningioma.png,0.599684474,0.642770349,0.700678074,0.397409739,0.638920197,0.657302841,0.616592685,0.793219178,0.576339802,0.626904426,0.575539966,0.659022894,0.679012594,0.603838545,0.705383818,0.670291304,0.882662502,0.543955245,0.697593936,0.563372948,0.586294472,0.596000303,0.602126658,0.666902951,0.583958888,0.72530744,0.650273364,0.49988317,0.606372016,0,0.645388485,0.648242536,0.659796718,0.715199104,0.556238141,0.711748308,0.577360532,0.589266241,0.6113879,0.624461033,0.683910846,0.448831119,0.601566138,0.646048487,0.563801485,0.610470993,0.65238754,0.662604605,0.597134182,0.601030446,0.354671536,0.567271516,0.599383562,0.563804092,0.564684935,0.79483624,0.572404092,0.607460855,0.575822641,0.522903807,0.729092177,0.761011786,0.726206848
Trial150,BRAIN_27_PATH_Sagittal GBM.png,0.545562,0.695027158,0.692916597,0.635266137,0.623900802,0.5399825,0.589935865,0.749242358,0.615875903,0.69245497,0.515082143,0.556514498,0.64974271,0.613091261,0.716190929,0.670253915,0.827129194,0.571336295,0.670152801,0.635271884,0.645507065,0.617136631,0.636575304,0.749683626,0.72689479,0.824713964,0.568089689,0.577714785,0.614392653,0.747014687,0.716936771,0.620051121,0.676120172,0.703476171,0.659154706,0.805733369,0.598785953,0.634621122,0.670486911,0.61671435,0.675446541,0.714450678,0.567748968,0.567653821,0.551887389,0.565657466,0.630783356,0.67973522,0.583187268,0.568228335,0.579450559,0.573023588,0.574073899,0.552206622,0.560310268,0.441345499,0.576912,0.618010228,0.578906998,0.626357086,0.724219434,0.635361849,0.533576089
Trial153,BRAIN_28_PATH_Aneurysm.png,0.555217721,0.668113723,0.589461218,0.577696069,0.613641079,0.854911486,0.497397397,0.739333481,0.536316413,0.670344175,0.486459002,0.622061008,0.592542486,0.598150058,0.756656623,0.643707747,0.816284105,0.578087875,0.63868947,0.592411859,0.527672193,0.576790726,0.606559188,0.683971694,0.659378216,0.657282066,0.611845838,0.605803144,0.605894518,0.553861224,0.671286802,0.657166907,0.616626646,0.712748476,0.671951688,0.256019215,0.64927614,0.519985104,0.585009581,0.629203247,0.502717014,0.551807407,0.463619725,0.573109624,0.566599285,0.54954994,0.606092702,0.708876808,0.623542741,0.539428048,0.412185763,0.496006626,0.585688426,0.50452553,0.540845103,0.56628171,0.533539569,0.575009873,0.585518614,0.588671536,0.46465492,0.699735471,0
Trial156,BRAIN_29_PATH_Chiari.png,0.583542019,0.746074916,0.705505381,0.662345902,0.615462279,0.591403973,0.679872881,0.768683143,0.630884718,0.607934243,0.591825186,0.744779763,0.643647371,0.594414839,0.646869831,0.662631174,0.886305399,0.558333111,0.76509571,0.598584087,0.43022994,0.671180118,0.616323642,0.546834598,0.623478698,0.75652959,0.653926125,0.568678148,0.611492424,0,0.709205872,0.693801912,0.689781544,0.759395734,0.610090223,0.54725567,0.616081518,0.648263911,0.6425502,0.593815179,0.601128659,0.523326064,0.571032497,0.5938343,0.578251964,0.576723526,0.664290368,0.747788004,0.626623662,0.6250695,0.524044728,0.587215339,0.538653018,0.545528649,0.605417758,0.38078669,0.622419856,0.592005324,0.535659538,0.612062625,0.592187581,0.531779732,0
Trial171,BRAIN_34_PATH_Colloid and pineal cysts.png,0.466835698,0.668329018,0.650795595,0.587624542,0.558555364,0.771916844,0.637741366,0.763658599,0.610054907,0.725341323,0.576568066,0.688996488,0.624589449,0.561342592,0.611365672,0.670467968,0.870793857,0.573387823,0.68016063,0.578189054,0.547073953,0.602524102,0.572420594,0.673742626,0.636474146,0.727349109,0.599938445,0.605277402,0.591647578,0.697872057,0.743336535,0.599398101,0.707120931,0.711178096,0.830842786,0.590096625,0.614620028,0.532662556,0.648081525,0.581015192,0.635285658,0.534275338,0.633016574,0.552913417,0.521464297,0.583083166,0.67372313,0.662010691,0.580517647,0.626725072,0.442205151,0.528751298,0.556044605,0.644628636,0.504594332,0.426123349,0.559699497,0.574856885,0.795465456,0.586432814,0.546689348,0.732796853,0.821532796
Trial174,BRAIN_35_PATH_SAH.png,0.526668323,0.675463501,0.641445524,0.54371668,0.660975442,0.802594626,0.593257331,0.607608698,0.586644118,0.66263299,0.576815831,0.713226558,0.592144622,0.580699185,0.676144985,0.678933326,0.895780136,0.551201632,0.694644639,0.619495232,0.594387037,0.684350017,0.6689555,0.730560332,0.663304932,0.70368839,0.619297111,0.606649572,0.645585605,0.590992527,0.730747224,0.639288934,0.591364923,0.708037352,0.676179355,0.556384191,0.598232216,0.523845813,0.598195351,0.593302888,0.681160773,0.585222145,0.770194283,0.431724442,0.526812189,0.439877299,0.631656158,0.618769772,0.612390586,0.648100562,0.476926655,0.58774472,0.584007248,0.605665513,0.560929186,0.566410855,0.52320468,0.538475419,0.525858765,0.611540683,0.517086955,0.703411524,0.824156024
Trial186,BRAIN_39_PATH_Thrombosis.png,0.548080441,0.645627376,0.64218448,0.57528822,0.640202958,0.705629344,0.382946045,0.649050338,0.6037803,0.671622978,0.581366251,0.671219075,0.607684314,0.598108003,0.620850471,0.679647722,0.841487669,0.561240466,0.679785971,0.565069808,0.441477811,0.646751362,0.563028753,0.646062515,0.613210202,0.716796276,0.63133637,0.644284769,0.591188226,0.648233484,0.636313893,0.643590487,0.60199987,0.689681059,0.658016467,0,0.59828746,0.574098682,0.531616513,0.600096531,0.489874963,0.539130173,0.565381874,0.665584936,0.471908639,0.594635724,0.681558324,0.661161051,0.607780865,0.701613273,0.424347417,0.523816438,0.517440361,0.49230025,0.533854316,0.417599315,0.640526192,0.533627287,0.588362656,0.566003115,0.487558794,0.674671529,0.614019842
