Column1,_1,Cpilot1,Cpilot2,BE1,BE2,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,c023,C024,C025,C026
Trial102,BRAIN_11_NORMAL_Normal T2 post fossa.png,1.180860954,1.364189124,1.226386437,1.140636395,1.157638092,1.364862491,1.28332532,1.313187307,1.141297317,1.160375546,1.198961366,1.153549952,1.28544145,1.164748203,1.230667025,1.230634107,1.409869361,1.123452555,1.253100366,1.24155074,1.188439898,1.222728072,1.206449654,1.255989325,1.244740607,1.214589377,1.187822445,1.154938092,1.140686205,1.147914119,1.154593772,1.183446414,1.15752845,1.282043996,1.266217082,1.214828878,1.127345187,1.257164674,1.217848148,1.189714086,1.180245068,1.249447633,1.208172519,1.18324874,1.148499935,1.091686845,1.192105755,1.476253274,1.245449272,1.229347693,1.119324226,1.263226675,1.147436461,1.141907027,1.205917306,1.19789674,1.231857743,1.271882479,1.138348755,1.151086513,1.324356594,1.338551434,1
Trial108,BRAIN_13_NORMAL_T2 CPA.png,1.227631206,1.203764204,1.25867141,1.33227495,1.195804393,1.415699113,1.254818242,1.444768097,1.22227179,1.235114616,1.359090492,1.234230162,1.250993185,1.229430785,1.20871731,1.241507062,1.121953693,1.18920956,1.324778823,1.178357793,1.230641525,1.227488837,1.211218339,1.263847753,1.295454887,1.381548682,1.324378119,1.249661365,1.20669382,1.191535568,1.299329133,1.315709289,1.295693227,1.327601138,1.253403477,1.297423824,1.216866144,1.230825558,1.250006693,1.198097905,1.133415485,1.278529454,1.23921105,1.196976496,1.143874365,1.279077431,1.237278606,1.36563223,1.308075917,1.300057887,1.213478048,1.220649405,1.176472795,1.23761487,1.292005987,1.242996383,1.223207317,1.274178105,1.256061547,1.248762758,1.393894768,1.108121106,1.222814327
Trial120,BRAIN_17_NORMAL_Normal ax.png,1.180366494,1.235968701,1.158031378,1.198071261,1.206818084,1.212531651,1.241266977,1.25612856,1.176052865,1.185839079,1.180624978,1.238506736,1.235383284,1.19768436,1.153709591,1.19954992,1.44138067,1.156137166,1.386541693,1.239848593,1.224221655,1.231923222,1.192294711,1.213882902,1.159821281,1.226738855,1.16661913,1.154393841,1.265281176,1.027265635,1.224434644,1.202859741,1.169751503,1.229020469,1.08507023,1,1.155014078,1.142406578,1.225823983,1.205061045,1.156439728,1.379804852,1.301563402,1.159413592,1.193263416,1.18355264,1.234250913,1.495841666,1.21244534,1.224668148,1.090934741,1.286490956,1.170377105,1.138088767,1.198242249,1.165348314,1.252512746,1.390445136,1.224948395,1.183177926,1.30137212,1.191034851,1.451023604
Trial126,BRAIN_19_NORMAL_Normal CTA.png,1.16681175,1.269702685,1.26726719,1.223102561,1.229068962,1.246305433,1.273385972,1.304436977,1.242256058,1.23870219,1.217486275,1.249848675,1.279633482,1.22898637,1.234848206,1.204182962,1.412285291,1.265725398,1.227344673,1.193069294,1.177784146,1.268683294,1.170575508,1.30379158,1.249349511,1.408600809,1.209967254,1.233892634,1.192465308,1.242280411,1.343734166,1.399314814,1.283495383,1.38020235,1.280283523,1.105444423,1.231921907,1.170691922,1.245540162,1.259435125,1.195699977,1.215001859,1.149160972,1.180438997,1.227268321,1.202254187,1.17162292,1.064743406,1.228678145,1.246867522,1.253438154,1.254935449,1.267656168,1.283122426,1.376986572,1.195058532,1.210844318,1.27183746,1.178214193,1.292169184,1.055280692,1.278851205,1.361912247
Trial135,BRAIN_22_NORMAL_Normal Insula.png,1.227802117,1.191205964,1.149801454,1.173093444,1.173646481,1.213034325,1.212130308,1.262090072,1.199289683,1.279261926,1.158119889,1.172375714,1.342206056,1.224723704,1.183135662,1.17333953,1.157709793,1.21337415,1.392310414,1.200616161,1.209333799,1.197067114,1.236105845,1.252747211,1.222233913,1.28909486,1.223471675,1.215455017,1.13026059,1.125234215,1.18215654,1.34202527,1.205954557,1.220697398,1.332596124,1,1.16893089,1.220197414,1.28393024,1.33631747,1.276370358,1.171093086,1.247220563,1.165738822,1.190853179,1.228297906,1.218086178,1.535956467,1.227777701,1.240278965,1.150625171,1.191275912,1.15238372,1.161738697,1.194724031,1.192774414,1.22266748,1.18994898,1.142011865,1.23172567,1.384111395,1.205201911,1.466078474
Trial138,BRAIN_23_NORMAL_norm T1+.png,1.281210933,1.190578532,1.327739236,1.196938306,1.251715102,1.289917098,1.249374293,1.332124498,1.233201422,1.253876959,1.166929602,1.207992061,1.353500877,1.246414032,1.353671616,1.258153346,1.400701721,1.236148889,1.312092948,1.235170965,1.28681453,1.269950301,1.234372977,1.380302951,1.268464853,1.288724222,1.307940036,1.236729006,1.249933677,1.231942732,1.307127539,1.268806187,1.264204806,1.285551638,1.121954993,1.394347656,1.2099533,1.246641635,1.261148041,1.171981509,1.16938233,1.245020991,1.259764621,1.167638446,1.140396389,1.152353545,1.240988725,1.305762971,1.211936453,1.249747987,1.136846053,1.192131953,1.187570385,1.299077261,1.280413133,1.192126692,1.241251446,1.341297987,1.171918192,1.196621447,1.113239402,1.226029692,1.340725253
Trial141,BRAIN_24_NORMAL_Ax.png,1.216762184,1.223286216,1.253034193,1.181535838,1.163202773,1.224963233,1.261657961,1.386691047,1.206863076,1.212593169,1.244610109,1.283923831,1.286430732,1.269489339,1.353232997,1.2090547,1.452419526,1.186868323,1.283042701,1.208179468,1.187679654,1.196603245,1.316135716,1.323735068,1.254215706,1.321843964,1.219972935,1.202774391,1.191175374,1.239714685,1.223854482,1.394780453,1.284470642,1.2882424,1.24589834,1.435285356,1.182666232,1.222700653,1.295887378,1.197862374,1.252189642,1.226867837,1.196216652,1.16691703,1.153020817,1.142716902,1.22916111,1.33001733,1.237039558,1.254092631,1.117883861,1.224282856,1.222256443,1.200814138,1.212018949,1.16413297,1.220610835,1.197553251,1.316715813,1.40079719,1.338579826,1.635290192,1.297088192
Trial147,BRAIN_26_NORMAL_BG.png,1.218726796,1.146309914,1.245288772,1.205629007,1.187595522,1.280005275,1.232142216,1.421153877,1.270426235,1.208791111,1.272992556,1.249503749,1.195798203,1.206061318,1.253919244,1.21280892,1.396653269,1.147718688,1.27632682,1.238055397,1.201631487,1.202784182,1.239785052,1.231384966,1.269265944,1.260626724,1.162277245,1.191997738,1.241256482,1.339885375,1.207826006,1.370537443,1.243057017,1.303730501,1.255512379,1.408321079,1.145374323,1.359372295,1.271928848,1.200470895,1.166395966,1.287561194,1.190019115,1.127619068,1.163557248,1.25534448,1.260822128,1.524703838,1.323848237,1.276402164,1.153820785,1.271966869,1.155535802,1.14277907,1.342986204,1.337063398,1.313576533,1.231123181,1.20136372,1.231637435,1.499758917,1.266881176,1.370315497
Trial159,BRAIN_30_NORMAL_Normal IAM.png,1.168204669,1.226355569,1.23339807,1.242187826,1.212985544,1.618663567,1.198624641,1.290548308,1.228183977,1.173689525,1.275416099,1.162336257,1.154199132,1.225272892,1.24752198,1.229740729,1.288200448,1.259823014,1.381632707,1.216681901,1.151446603,1.261158997,1.294004139,1.198961117,1.186834625,1.253353013,1.281171598,1.236419768,1.257172394,1.430135681,1.251937309,1.106347753,1.197963952,1.301054637,1.229617462,1.321480843,1.173899849,1.18792422,1.234427633,1.20362737,1.238011402,1.282193118,1.193121595,1.281570373,1.181418659,1.110179653,1.220192042,1.554780039,1.275893223,1.27532252,1.142843325,1.300577697,1.132285174,1.187765514,1.258805594,1.1943446,1.294397911,1.222316922,1.193485873,1.216702775,1.221211511,1.393640012,1.147110707
Trial162,BRAIN_31_NORMAL_Sulci.png,1.147510893,1.214298255,1.174960192,1.163541344,1.202650252,1.49091669,1.101374222,1.30114404,1.155967502,1.527398384,1.343827765,1.184282652,1.299854384,1.164700819,1.278182586,1.210063199,1.465261329,1.144694418,1.249231426,1.305308037,1.088229214,1.115275722,1.203293844,1.220748884,1.258279544,1.300710571,1.182777331,1.152328036,1.263396521,1.058626969,1.268154834,1.107726254,1.204041549,1.319029241,1.315743903,1.225903221,1.162728492,1.185910613,1.314375871,1.231820044,1.219569794,1.23771176,1.24023017,1.184645169,1.115949141,1.323101708,1.180202997,1.616659153,1.184213205,1.309860494,1.150537382,1.263504608,1.182385448,1.206031996,1.24265398,1.167876985,1.164195028,1.198077986,1.273089775,1.218246561,1.315852004,1.728913984,1.057543414
Trial165,BRAIN_32_NORMAL_Axial T2.png,1.182675714,1.187821769,1.22767001,1.180306336,1.190515444,1.350653616,1.19296355,1.344600524,1.206132017,1.323111407,1.298839976,1.191636489,1.394129097,1.15994737,1.343328075,1.277742826,1.348670219,1.253420067,1.194417547,1.310985137,1.167629165,1.120998542,1.253998551,1.326032021,1.242758688,1.248410852,1.159653477,1.162577188,1.278823487,1.113336009,1.282693097,1.239851379,1.222932,1.268972806,1.263385749,1.318661837,1.213507651,1.180932159,1.217721676,1.184166654,1.151698713,1.210793409,1.383137455,1.203636071,1.147376269,1.310020351,1.195908667,1.539760868,1.273309277,1.198620544,1.144864893,1.240825787,1.194486957,1.144334794,1.180084758,1.247899874,1.231719001,1.177621339,1.170581383,1.232593114,1.183547509,1.447257741,1.283078357
Trial168,BRAIN_33_NORMAL_T1C ventricles.png,1.179301947,1.195967193,1.171666927,1.172279841,1.223630902,1.337452955,1.227294566,1.33509894,1.151020809,1.148074946,1.274459108,1.179431255,1.284482712,1.211176249,1.170104537,1.299844432,1.461197013,1.201167763,1.275403568,1.182962629,1.160971777,1.223612869,1.175936331,1.243951064,1.235439236,1.26442017,1.204927997,1.185893067,1.21872031,1.336095375,1.238996159,1.231725866,1.184011889,1.283550335,1.646633508,1,1.199613122,1.309102835,1.304550467,1.175156337,1.218287329,1.241787362,1.646400265,1.077537082,1.15186532,1.324007319,1.194686569,1.388317909,1.210402767,1.225612059,1.194654721,1.306636378,1.249752174,1.190542423,1.226614951,1.218496091,1.289279787,1.270533501,1.247668018,1.211519284,1.297483313,1.32168086,1
Trial177,BRAIN_36_NORMAL_T1C a.png,1.219877536,1.209752911,1.252674976,1.226513459,1.221815393,1.451869072,1.240154555,1.360883646,1.221859971,1.207287947,1.183727704,1.344367156,1.240724763,1.220583276,1.221947515,1.28840929,1.389974749,1.238669396,1.281465493,1.1918452,1.17924391,1.210056031,1.267052658,1.248669829,1.2165112,1.318744516,1.201341088,1.250467165,1.171780634,1.236595091,1.210428826,1.288777602,1.246158013,1.333790449,1.346826882,1.085295511,1.228211985,1.295860853,1.331612822,1.335011386,1.1955584,1.338757967,1.422573617,1.233843076,1.149134266,1.340252526,1.289477637,1.43626672,1.242851477,1.288729425,1.214620639,1.245453487,1.157796752,1.214996069,1.29218116,1.282541493,1.325778688,1.257817729,1.190571914,1.21335575,1.099461913,1.510832328,1.369282601
Trial180,BRAIN_37_NORMAL_Normal MRA.png,1.159852848,1.166400098,1.171420058,1.179157885,1.193955811,1.530243645,1.273231519,1.356044272,1.20701883,1.262846143,1.180694473,1.163832737,1.236832601,1.165060762,1.227373755,1.210177817,1.358386989,1.182352999,1.270817355,1.192935024,1.241400452,1.209612678,1.229743601,1.230767867,1.219923217,1.268516675,1.232856591,1.20504385,1.161004078,1.434079157,1.240143014,1.174592509,1.187699375,1.260195888,1.323088463,1.34787381,1.189786855,1.19090273,1.160794856,1.155137371,1.113726355,1.226809687,1.175526294,1.118351804,1.145823942,1.188871278,1.163787456,1.338158626,1.215183541,1.157924057,1.121354183,1.18061343,1.161860157,1.176119122,1.271617682,1.145850006,1.140862492,1.173023514,1.171616119,1.187089154,1.270274361,1.253545419,1.159849192
Trial183,BRAIN_38_NORMAL_Sagittal T1.png,1.162834142,1.16727794,1.217239463,1.194059508,1.171732235,1.525716401,1.144383674,1.443642243,1.20213417,1.158320321,1.137154679,1.177342246,1.13969543,1.189478871,1.281995386,1.174907243,1.546210349,1.220096767,1.223313892,1.218029388,1.150971535,1.151410277,1.179458733,1.260346223,1.223389335,1.2736177,1.239244242,1.145356604,1.166217742,1.178292793,1.22795067,1.156631055,1.173240639,1.24842117,1.202600538,1.307884652,1.142879307,1.201925008,1.233809399,1.122806525,1.152248469,1.24810254,1.240377168,1.223610458,1.188979563,1.143932795,1.180636909,1.262237464,1.169216068,1.127570913,1.133326872,1.262630772,1.149324039,1.181773248,1.269677564,1.264506525,1.23037638,1.16683935,1.16834496,1.172887586,1.064346653,1.254003861,1.078307412
Trial189,BRAIN_40_NORMAL_Sylvian.png,1.1968506,1.194560842,1.177669901,1.168624438,1.14935429,1.480288384,1.175875044,1.34997813,1.295167773,1.264804382,1.17105436,1.191655088,1.203221287,1.18823932,1.22060188,1.19474086,1.373967218,1.174754178,1.241673076,1.249507186,1.252669609,1.192184713,1.252507531,1.308671108,1.231522907,1.344423063,1.262566982,1.237835767,1.136996697,1.296077392,1.235346793,1.396864619,1.208015037,1.291016077,1.248285893,1,1.177827231,1.293677301,1.289956441,1.147570029,1.178963012,1.269408813,1.229966558,1.150299899,1.181635595,1.28612261,1.251004661,1.433817753,1.219788037,1.198436511,1.22514735,1.253578238,1.190784492,1.170969952,1.26871929,1.271434045,1.233322541,1.282574489,1.204937059,1.214093024,1.330065587,1.268546276,1.184872747
