Column1,_1,Cpilot1,Cpilot2,BE1,BE12,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,c023,C024,C025,C026
Trial123,BRAIN_18_PATH_Sag schwannoma.png,1.25336594,1.15915759,1.176227764,1.104920688,1.112701407,1.20057859,1.037122791,1.166117034,1.284957909,1.256600013,1.203511249,1.164633178,1.251401513,1.099159154,1.234477998,1.241376411,1.303826577,1.161167125,1.184052062,1.320634689,1.291404844,1.215028489,1.201007611,1.365924262,1.226246922,1.568453687,1.319690161,1.16209097,1.121644649,1,1.138149684,1.312328451,1.219240422,1.254006589,1.087869041,1.552384955,1.116649925,1.171235152,1.229032235,1.170927366,1.132532934,1.113463488,1.117179962,1.091688967,1.079640673,1.209085957,1.175045387,1.261763239,1.208144825,1.196432556,1,1.215833003,1.168837863,1.123683554,1.113331481,1.105864705,1.185744945,1.218740498,1.506482287,1.237656492,1.343251867,1.124448379,1.240985768
Trial129,BRAIN_20_PATH_Empty Sella.png,1.211303109,1.227612072,1.167681492,1.281864164,1.14971773,1.247341412,1.356614052,1.146016771,1.314170443,1.266756323,1.216390194,1.198242523,1.268364978,1.216689037,1.278614496,1.198549821,1.37247032,1.181455733,1.230318087,1.102820473,1.211162142,1.181352345,1.216075472,1.330275254,1.576400618,1.398912507,1.180540653,1.151372901,1.143736812,1.12440229,1.374864113,1.233235104,1.348684601,1.298994281,1.160292988,1,1.298308243,1.267739371,1.183461192,1.164665445,1.166480317,1.18254462,1.109796338,1.12307097,1.134074556,1.258098375,1.227325229,1.449588921,1.168175785,1.238914867,1.164172027,1.235988937,1.169781935,1.159420473,1.173589503,1.302209494,1.29869402,1.195152295,1.584507485,1.266236841,1.13859877,1.314153617,1.246640442
Trial132,BRAIN_21_PATH_Cor met.png,1.316639836,1.249668532,1.215979851,1.334585674,1.207550238,1.219446469,1.241872496,1.341134326,1.171358663,1.360238025,1.178981983,1.203144669,1.311111807,1.38063542,1.285741605,1.435595051,1.37149853,1.234897796,1.219542789,1.114067195,1.174250529,1.263281361,1.192745742,1.415649756,1.441832922,1.546808079,1.335186841,1.33157624,1.09273418,1,1.433439557,1.327306538,1.292859405,1.541796524,1.314958059,1.188743294,1.363991771,1.217865815,1.201580296,1.246830401,1.169046726,1.114130978,1.596107233,1.137194977,1.193329185,1.197012893,1.259415238,1.454230673,1.135953383,1.188649257,1.008026673,1.277045208,1.28161995,1.262219663,1.17970696,1.107156611,1.139287468,1.154989752,1.143536511,1.206523878,1.515683356,1.140289625,1.344202202
Trial144,BRAIN_25_PATH_Transv sinus meningioma.png,1.269220111,1.197528821,1.221411153,1.116252831,1.201935517,1.237855617,1.121191306,1.239361955,1.170290996,1.128389955,1.241276319,1.168198555,1.195002116,1.496823182,1.289798399,1.229050348,1.23700487,1.188245215,1.265999068,1.115121749,1.17708791,1.096180955,1.208991169,1.284493969,1.150161667,1.328564492,1.253749559,1.175827484,1.214260952,1,1.181333251,1.121985935,1.167832972,1.265670541,1.196678565,1.351058966,1.148328355,1.171825838,1.345410851,1.147000121,1.219993053,1.188063058,1.29562094,1.205587264,1.174213524,1.31355824,1.248352575,1.412169552,1.209110093,1.211251109,1,1.279764964,1.162956343,1.197122016,1.207770604,1.48798003,1.13687078,1.150482189,1.227231255,1.533593666,1.396008993,1.234672783,1.250381621
Trial150,BRAIN_27_PATH_Sagittal GBM.png,1.141476134,1.11716468,1.160821937,1.175803893,1.144966583,1.252389646,1.319772357,1.28248593,1.256439473,1.236419146,1.214295014,1.190953884,1.272989528,1.18967668,1.286420597,1.281759272,1.2613411,1.184986804,1.305417984,1.157569846,1.174756922,1.332563577,1.329492759,1.514770647,1.331069193,1.607426832,1.24728034,1.12598934,1.114031418,1,1.207184607,1.310965648,1.278510387,1.459639757,1.229230778,1.268342953,1.154633424,1.210180781,1.247065618,1.200359559,1.131491686,1.083434674,1.104062559,1.131274609,1.245161616,1.122664496,1.288721599,1.29951562,1.339817879,1.267574038,1.369208854,1.32076866,1.135376174,1.177622403,1.207357122,1.181348354,1.175739892,1.138205398,1.113478268,1.38736044,1.233642589,1.116163487,1.413361233
Trial153,BRAIN_28_PATH_Aneurysm.png,1.19688676,1.126185795,1.3051836,1.126822657,1.174884186,1.403069728,1.223067939,1.162823638,1.188452496,1.354072661,1.205268098,1.178189231,1.152228402,1.27942169,1.267704899,1.155378565,1.217420574,1.193870122,1.192981933,1.185728814,1.168329698,1.247201402,1.268503459,1.272333979,1.273536995,1.270620176,1.193872363,1.204319266,1.239767292,1.068751262,1.141881217,1.151677276,1.16030488,1.263025945,1.180526439,1,1.145714022,1.235980964,1.225673687,1.153813332,1.097951572,1.149274316,1.181750928,1.140246416,1.265002158,1.197994105,1.166317745,1.413710918,1.246971401,1.157490342,1.053280905,1.17411673,1.096984294,1.179870715,1.16270813,1.215189836,1.279614316,1.15793202,1.183667608,1.111347017,1.215305244,1.152366447,1
Trial156,BRAIN_29_PATH_Chiari.png,1.25135559,1.228120304,1.214983523,1.187751694,1.158982165,1.486939269,1.284678679,1.170020259,1.268155456,1.116997212,1.205758704,1.196492274,1.272492089,1.146717579,1.136894551,1.327057799,1.197636398,1.263527621,1.316521124,1.1444728,1.027354529,1.250321946,1.249411004,1.354424122,1.388266184,1.423573835,1.241866404,1.218964455,1.208800828,1.363417227,1.199302912,1.149931739,1.345421127,1.392536168,1.17547679,1,1.152114145,1.188605699,1.203757195,1.229129709,1.142802876,1.117582682,1.13617377,1.064689984,1.096817584,1.283387938,1.220509114,1.360536752,1.276749432,1.313714398,1.168501173,1.159621606,1.223063028,1.148740549,1.155429361,1.172560711,1.197100591,1.136428906,1.133135897,1.191817429,1.36042464,1.109341412,1.172248861
Trial171,BRAIN_34_PATH_Colloid and pineal cysts.png,1.279730624,1.241996884,1.174068874,1.338383292,1.215332418,1.556422181,1.338563954,1.481599298,1.323324902,1.590383412,1.325107872,1.458942252,1.290723647,1.257879846,1.248530948,1.308567881,1.221964019,1.348366956,1.142489015,1.134167317,1.134969827,1.227581977,1.18638727,1.398401382,1.350209105,1.519234003,1.117994781,1.435710863,1.11000212,1.413977814,1.429573784,1.32747491,1.518932512,1.23037183,1.331417717,1,1.19118331,1.181195362,1.514013856,1.174221732,1.109967949,1.401681277,1.26501097,1.082987699,1.380200092,1.160669376,1.143188394,1.408008852,1.141921753,1.177843252,1.037352004,1.257322544,1.086888229,1.069827889,1.239436329,1.223741105,1.169788735,1.25117637,1.432696924,1.198434492,1.059290919,1.222956729,1.496777771
Trial174,BRAIN_35_PATH_SAH.png,1.129209013,1.310677836,1.196955364,1.162204718,1.277085179,1.23679124,1.187879368,1,1.240540431,1.231419304,1.293209876,1.267848319,1.28851581,1.244809184,1.295500382,1.366584012,1.261612886,1.206759909,1.194437223,1.174938057,1.175486156,1.283798253,1.199950139,1.437508152,1.384511295,1.451035627,1.234221735,1.26656206,1.099478465,1.416926584,1.247141781,1.274330602,1.333848696,1.244105273,1.640387028,1.166739485,1.108231956,1.222349463,1.319321259,1.176544941,1.218204066,1.352277103,1.407076912,1.185659462,1.084360009,1.251094601,1.294920772,1.252287911,1.160577569,1.284211999,1.046842308,1.110315766,1.167060924,1.204804551,1.254917196,1.084351104,1.192526656,1.193613476,1.184001186,1.112169599,1.158757764,1.390278535,1.700434116
Trial186,BRAIN_39_PATH_Thrombosis.png,1.239145898,1.215652739,1.13073254,1.106673807,1.136384459,1.406243752,1.140206395,1.253113951,1.143439251,1.277601653,1.238708897,1.11015981,1.221615324,1.149437217,1.292656006,1.130624848,1.281424909,1.133803878,1.31489737,1.072419187,1.149482565,1.17622146,1.43841982,1.353535033,1.222208385,1.227426162,1.178229235,1.173874975,1.264738502,1.155844881,1.274712269,1.292888149,1.163654553,1.377677622,1.168208978,1,1.155801158,1.252266985,1.35707819,1.304198069,1.068085164,1.126103986,1.161692079,1.266852773,1.116669503,1.193246862,1.132240164,1.427963032,1.253552305,1.405630526,1.005843256,1.177314765,1.263630997,1.215276451,1.22574432,1.358422364,1.129460702,1.129341953,1.284508691,1.23766493,1.273859548,1.495483848,1.145698296
